кто	дата	счет	статья	сумма	примечания	остаток после					счета		
В	05.02.2016	кошелек.В	еда.обед	-300,00		17 368,00	2016.2				счет	сумма_нач	сумма текущ
В	05.02.2016	карта зарпл.В	связь	-150,00	моб. Варя	30,13	2016.2	-150			кошелек.В	17668	69300
Л	05.02.2016	кошелек.Л	еда.обед	-320,00	кофе и круасаны	4 650,00	2016.2				карта зарпл.В	180,13	4359,72
Л	05.02.2016	кошелек.Л	еда.обед	-250,00	обед	4 400,00	2016.2				карта старая.В	131,47	528,6
В	05.02.2016	кошелек.В	красота	-100,00	солярий	17 268,00	2016.2				карта сбер.В	66	26
В	06.02.2016	карта сбер.В	коммисия сбер	-30,00	обсл.карты	36,00	2016.2				киви	356,56	356,56
Л	06.02.2016	Кошелек.Л	зарплата	46 000,00	Зп за январь	50 400,00	2016.2				кошелек.Л	4970	10816
Л	06.02.2016	Кошелек.Л	В долг	3 000,00	За январь Долг оксана	53 400,00	2016.2				конверт.кварт	10000	0
Л	06.02.2016	Кошелек.Л	В долг	7 000,00	Сняла с маминой карты	60 400,00	2016.2				л.карта.сбер	50	350,83
Л	06.02.2016	Кошелек.Л	Кофе	-300,00	Мне и систеру	60 100,00	2016.2				сбер.вклад	806102,13	970000
Л	06.02.2016	Кошелек.Л	Продукты	-1 350,00	Вино на др и овощи	58 750,00	2016.2				конверт.аренда	0	0
Л	06.02.2016	Кошелек.Л	Продукты	-950,00	Тортик на работу и нам	57 800,00	2016.2						
Л	06.02.2016	Кошелек.Л	ресторан	-2 200,00	Пицца на др	55 600,00	2016.2						
Л	06.02.2016	Кошелек.Л	Продукты	-350,00	Хлеб, молоко, вафли	55 250,00	2016.2						
Л	06.02.2016	Кошелек.Л	Квартира	-50 000,00	Риелтору	5 250,00	2016.2						
Л	06.02.2016	Кошелек.Л	Здоровье	-1 350,00	Мои лекарства от мастопатиии	3 900,00	2016.2						
Л	06.02.2016	Кошелек.В	вещи	-10 888,00	Tapperwave	6 380,00	2016.2						
Л	06.02.2016	Кошелек.В	вещи	-15 680,00	Кольца для нас ;)	(9 300,00)	2016.2					итого без вклада:	85737,71
Л	06.02.2016	Кошелек.Л	отдал члену семьи	-150,00	Варе наклейки	3 750,00	2016.2						
Л	06.02.2016	Кошелек.Л	Красота	-3 500,00	Маникюр, стрижка, покраска	250,00	2016.2						
В	06.02.2016	конверт.кварт	перевод	-10 000,00		0,00	2016.2						
В	06.02.2016	кошелек.В	перевод	10 000,00		700,00	2016.2						#VALUE!
В	08.02.2016	кошелек.В	еда.обед	-300,00		400,00	2016.2						
Л	08.02.2016	кошелек.Л	транспорт	-35,00		215,00	2016.2						
Л	08.02.2016	кошелек.Л	сигареты	-90,00		125,00	2016.2						
Л	08.02.2016	кошелек.Л	кофе	-120,00	кофе	5,00	2016.2						
Л	08.02.2016	кошелек.Л	транспорт	-35,00		(30,00)	2016.2						
